,LHS,RHS,support,confidence,coverage,lift,count
125,"{interior_components:Steering wheel,interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels,exterior_components:Headlights}",{exterior_components:Side mirrors},0.10638297872340426,1.0,0.10638297872340426,3.1333333333333333,5
43,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Headlights}",{exterior_components:Side mirrors},0.10638297872340426,1.0,0.10638297872340426,3.1333333333333333,5
69,"{interior_components:Centre compartment,interior_components:Dashboard,exterior_components:Headlights}",{exterior_components:Side mirrors},0.1276595744680851,1.0,0.1276595744680851,3.1333333333333333,6
98,"{interior_components:Steering wheel,interior_components:Dashboard,interior_components:Door handles,exterior_components:Headlights}",{exterior_components:Side mirrors},0.10638297872340426,1.0,0.10638297872340426,3.1333333333333333,5
107,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels,exterior_components:Headlights}",{exterior_components:Side mirrors},0.10638297872340426,1.0,0.10638297872340426,3.1333333333333333,5
104,"{interior_components:Steering wheel,interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels}",{exterior_components:Side mirrors},0.10638297872340426,0.8333333333333334,0.1276595744680851,2.6111111111111116,5
47,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels}",{exterior_components:Side mirrors},0.10638297872340426,0.8333333333333334,0.1276595744680851,2.6111111111111116,5
40,"{interior_components:Steering wheel,interior_components:Dashboard,interior_components:Door handles}",{exterior_components:Side mirrors},0.10638297872340426,0.8333333333333334,0.1276595744680851,2.6111111111111116,5
60,"{interior_components:Dashboard,exterior_components:Side mirrors,exterior_components:Bumpers}",{exterior_components:Grilles},0.10638297872340426,1.0,0.10638297872340426,2.238095238095238,5
18,"{exterior_components:Side mirrors,exterior_components:Bumpers}",{exterior_components:Grilles},0.10638297872340426,1.0,0.10638297872340426,2.238095238095238,5
103,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
110,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels,exterior_components:Headlights}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
39,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
82,"{interior_components:Dashboard,exterior_components:Wheels,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.19148936170212766,1.0,0.19148936170212766,1.8076923076923077,9
113,"{interior_components:Dashboard,exterior_components:Grilles,exterior_components:Wheels,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
66,"{exterior_components:Wheels,exterior_components:Headlights,exterior_components:Bumpers}",{interior_components:Steering wheel},0.14893617021276595,1.0,0.14893617021276595,1.8076923076923077,7
56,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels}",{interior_components:Steering wheel},0.1276595744680851,1.0,0.1276595744680851,1.8076923076923077,6
53,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Headlights}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
116,"{interior_components:Dashboard,exterior_components:Wheels,exterior_components:Headlights,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.14893617021276595,1.0,0.14893617021276595,1.8076923076923077,7
124,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Wheels,exterior_components:Headlights,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
97,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Headlights,exterior_components:Side mirrors}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
63,"{exterior_components:Grilles,exterior_components:Wheels,exterior_components:Bumpers}",{interior_components:Steering wheel},0.10638297872340426,1.0,0.10638297872340426,1.8076923076923077,5
67,"{interior_components:Centre compartment,exterior_components:Grilles,exterior_components:Side mirrors}",{exterior_components:Headlights},0.10638297872340426,1.0,0.10638297872340426,1.7407407407407407,5
85,"{interior_components:Centre compartment,exterior_components:Grilles,exterior_components:Wheels}",{exterior_components:Headlights},0.14893617021276595,1.0,0.14893617021276595,1.7407407407407407,7
68,"{interior_components:Centre compartment,interior_components:Dashboard,exterior_components:Side mirrors}",{exterior_components:Headlights},0.1276595744680851,1.0,0.1276595744680851,1.7407407407407407,6
70,"{interior_components:Centre compartment,exterior_components:Wheels,exterior_components:Side mirrors}",{exterior_components:Headlights},0.1276595744680851,1.0,0.1276595744680851,1.7407407407407407,6
45,"{interior_components:Door handles,exterior_components:Wheels,exterior_components:Side mirrors}",{exterior_components:Headlights},0.14893617021276595,1.0,0.14893617021276595,1.7407407407407407,7
24,"{interior_components:Centre compartment,exterior_components:Side mirrors}",{exterior_components:Headlights},0.1702127659574468,1.0,0.1702127659574468,1.7407407407407407,8
42,"{interior_components:Dashboard,interior_components:Door handles,exterior_components:Side mirrors}",{exterior_components:Headlights},0.10638297872340426,1.0,0.10638297872340426,1.7407407407407407,5
37,"{interior_components:Steering wheel,interior_components:Door handles,exterior_components:Side mirrors}",{exterior_components:Headlights},0.10638297872340426,1.0,0.10638297872340426,1.7407407407407407,5
83,"{interior_components:Centre compartment,interior_components:Steering wheel,exterior_components:Grilles}",{exterior_components:Headlights},0.10638297872340426,1.0,0.10638297872340426,1.7407407407407407,5
